phenotype,databaseId,description,cohortId,analysisName,sensitivity95Ci,ppv95Ci,specificity95Ci,npv95Ci,cutPoint,truePositives,trueNegatives,falsePositives,falseNegatives,estimatedPrevalence,f1Score,sensitivity,sensitivityCi95Lb,sensitivityCi95Ub,ppv,ppvCi95Lb,ppvCi95Ub,specificity,specificityCi95Lb,specificityCi95Ub,npv,npvCi95Lb,npvCi95Ub,runDateTime,totalSubjects,rawCases,estimatedCases,rawTar,estimatedTar,rawPrevalence,estimatedPrevalence,rawPrevalenceRate,estimatedPrevalenceRate
alzheimersDiseaseMulti,CCAE_RS,xSpec,11754,Female55-64YO,0.153 (0.102 - 0.216),0.963 (0.810 - 0.999),1.000 (1.000 - 1.000),1.000 (0.999 - 1.000),Expected Value,26,327674,1,145,0.052,0.264,0.152941,0.102404,0.216009,0.962963,0.810294,0.999063,0.999997,0.999983,1,0.999558,0.99948,0.999627,Feb 06 2024 2:39:01 AM,327846,219,171,1826452.2,1826503.4,0.067,0.052,0.012,0.009
alzheimersDiseaseMulti,CCAE_RS,Prevalence,5278,Female55-64YO,0.881 (0.826 - 0.924),0.691 (0.627 - 0.749),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,164,327605,72,22,0.057,0.774,0.881081,0.825505,0.923953,0.690678,0.627456,0.749035,0.999777,0.99972,0.999825,0.99993,0.999895,0.999955,Feb 06 2024 2:39:01 AM,327863,236,186,1826569.2,1826626.2,0.072,0.057,0.013,0.01
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Female55-64YO,0.718 (0.627 - 0.797),0.808 (0.719 - 0.878),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,84,217452,20,33,0.054,0.76,0.717949,0.627292,0.797241,0.807692,0.718742,0.878396,0.999908,0.999858,0.999944,0.999844,0.999782,0.999892,Feb 06 2024 1:48:48 PM,217589,153,117,1679658,1679704,0.07,0.054,0.009,0.007
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Female55-64YO,0.863 (0.787 - 0.920),0.660 (0.579 - 0.735),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,102,217421,51,15,0.054,0.748,0.863248,0.787441,0.919768,0.660131,0.579256,0.734667,0.999765,0.999692,0.999825,0.999926,0.999881,0.999958,Feb 06 2024 1:48:48 PM,217589,153,117,1679658,1679704,0.07,0.054,0.009,0.007
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Female55-64YO,0.942 (0.841 - 0.988),0.380 (0.296 - 0.469),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,50,215395,79,3,0.025,0.541,0.942308,0.840527,0.987941,0.379845,0.295881,0.469458,0.999629,0.999538,0.999706,0.999981,0.999952,0.999995,Feb 06 2024 1:48:48 PM,215527,84,53,1659007.4,1659054.6,0.039,0.025,0.005,0.003
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Female55-64YO,0.942 (0.841 - 0.988),0.380 (0.296 - 0.469),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,50,215167,79,3,0.025,0.541,0.942308,0.840527,0.987941,0.379845,0.295881,0.469458,0.999628,0.999537,0.999705,0.999981,0.999952,0.999995,Feb 06 2024 1:48:48 PM,215299,84,53,1655927.6,1655974.8,0.039,0.025,0.005,0.003
alzheimersDiseaseMulti,CCAE_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Female55-64YO,0.759 (0.624 - 0.865),0.526 (0.409 - 0.640),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,41,216259,37,13,0.025,0.621,0.759259,0.623595,0.865137,0.525641,0.409346,0.639931,0.999834,0.99977,0.999883,0.99994,0.999897,0.999968,Feb 06 2024 1:48:48 PM,216350,84,54,1667501.2,1667547.3,0.039,0.025,0.005,0.003
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,All,0.054 (0.049 - 0.059),0.942 (0.917 - 0.962),1.000 (1.000 - 1.000),0.996 (0.996 - 0.996),Expected Value,426,1947419,26,7490,0.405,0.102,0.053822,0.048952,0.059023,0.942478,0.91685,0.962084,0.999987,0.99998,0.999991,0.996169,0.996081,0.996255,Feb 05 2024 6:56:35 PM,1955361,4362,7916,9258461.8,9253076.1,0.223,0.405,0.047,0.086
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,All,0.480 (0.469 - 0.491),0.853 (0.843 - 0.863),1.000 (1.000 - 1.000),0.998 (0.998 - 0.998),Expected Value,3893,1946785,668,4214,0.415,0.615,0.480138,0.469209,0.491081,0.853322,0.842719,0.86347,0.999656,0.999629,0.999682,0.99784,0.997773,0.997904,Feb 05 2024 6:56:35 PM,1955560,4561,8107,9259314.6,9253951.2,0.233,0.415,0.049,0.088
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,All,0.383 (0.370 - 0.395),0.906 (0.894 - 0.917),1.000 (1.000 - 1.000),0.997 (0.997 - 0.997),Expected Value,2221,1243342,230,3585,0.465,0.538,0.382601,0.370074,0.395247,0.906161,0.893922,0.917419,0.999815,0.99979,0.999838,0.997125,0.997029,0.997218,Feb 06 2024 12:18:17 PM,1249378,3244,5806,8006846.7,8002739.7,0.26,0.465,0.041,0.073
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,All,0.470 (0.457 - 0.483),0.841 (0.828 - 0.854),1.000 (1.000 - 1.000),0.998 (0.997 - 0.998),Expected Value,2729,1243057,515,3077,0.465,0.603,0.470112,0.457204,0.48305,0.841245,0.828209,0.853663,0.999586,0.999549,0.999621,0.997531,0.997442,0.997617,Feb 06 2024 12:18:17 PM,1249378,3244,5806,8006846.7,8002739.7,0.26,0.465,0.041,0.073
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,All,0.773 (0.750 - 0.794),0.445 (0.425 - 0.465),0.999 (0.999 - 0.999),1.000 (1.000 - 1.000),Expected Value,1105,1206606,1375,325,0.118,0.565,0.772568,0.749937,0.794073,0.445161,0.425474,0.464978,0.998861,0.998799,0.99892,0.99973,0.999699,0.999758,Feb 06 2024 12:18:17 PM,1209411,1232,1430,7676279.2,7675937.4,0.102,0.118,0.016,0.019
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,All,0.771 (0.749 - 0.793),0.443 (0.423 - 0.463),0.999 (0.999 - 0.999),1.000 (1.000 - 1.000),Expected Value,1078,1205006,1352,318,0.116,0.563,0.77149,0.748548,0.793284,0.44321,0.423331,0.463225,0.998879,0.998818,0.998938,0.999735,0.999705,0.999764,Feb 06 2024 12:18:17 PM,1207754,1202,1396,7656590.7,7656253.3,0.1,0.116,0.016,0.018
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,All,0.623 (0.597 - 0.647),0.517 (0.494 - 0.541),0.999 (0.999 - 0.999),1.000 (0.999 - 1.000),Expected Value,928,1214974,864,561,0.122,0.565,0.622565,0.597386,0.64726,0.517299,0.493872,0.54067,0.999289,0.99924,0.999336,0.999538,0.999498,0.999575,Feb 06 2024 12:18:17 PM,1217327,1202,1489,7742326.2,7741840.4,0.099,0.122,0.016,0.019
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male0-4YO,0.000 (0.000 - 0.975),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,607062,1,1,0,0,0,0,0.975,0,0,0.975,0.999998,0.999991,1,0.999997,0.999988,1,Feb 05 2024 7:14:10 PM,607063,2,1,1692079.6,1692081.1,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male0-4YO,1.000 (0.025 - 1.000),0.500 (0.013 - 0.987),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,607061,1,0,0,0.667,1,0.025,1,0.5,0.012579,0.987421,0.999998,0.999991,1,0.999998,0.999991,1,Feb 05 2024 7:14:10 PM,607063,2,1,1692079.6,1692081.1,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male0-4YO,1.000 (0.025 - 1.000),0.500 (0.013 - 0.987),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,258128,1,0,0,0.667,1,0.025,1,0.5,0.012579,0.987421,0.999996,0.999978,1,0.999996,0.999978,1,Feb 06 2024 12:19:00 PM,258129,1,1,1060339.8,1060339.8,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male0-4YO,1.000 (0.025 - 1.000),0.500 (0.013 - 0.987),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,258128,1,0,0,0.667,1,0.025,1,0.5,0.012579,0.987421,0.999996,0.999978,1,0.999996,0.999978,1,Feb 06 2024 12:19:00 PM,258129,1,1,1060339.8,1060339.8,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male0-4YO,1.000 (0.025 - 1.000),0.333 (0.008 - 0.906),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,257939,2,0,0,0.5,1,0.025,1,0.333333,0.008404,0.905701,0.999992,0.999972,0.999999,0.999996,0.999978,1,Feb 06 2024 12:19:00 PM,257942,1,1,1059423.5,1059423.4,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male0-4YO,1.000 (0.025 - 1.000),0.333 (0.008 - 0.906),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,257936,2,0,0,0.5,1,0.025,1,0.333333,0.008404,0.905701,0.999992,0.999972,0.999999,0.999996,0.999978,1,Feb 06 2024 12:19:00 PM,257939,1,1,1059401,1059400.9,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male0-4YO,1.000 (0.025 - 1.000),0.500 (0.013 - 0.987),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,258030,1,0,0,0.667,1,0.025,1,0.5,0.012579,0.987421,0.999996,0.999978,1,0.999996,0.999978,1,Feb 06 2024 12:19:00 PM,258032,1,1,1059885.7,1059885.6,0,0,0,0
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male5-17YO,0.000 (0.000 - 0.602),0.000 (0.000 - 0.975),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,0,823333,1,4,0.001,0,0,0,0.602365,0,0,0.975,0.999999,0.999993,1,0.999994,0.999986,0.999998,Feb 05 2024 7:19:09 PM,823337,7,4,5079095.2,5079102.5,0.001,0.001,0,0
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male5-17YO,0.250 (0.006 - 0.806),0.143 (0.004 - 0.579),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,2,823328,5,2,0.001,0.182,0.25,0.006309,0.80588,0.142857,0.00361,0.578723,0.999994,0.999986,0.999998,0.999996,0.999989,0.999999,Feb 05 2024 7:19:09 PM,823337,7,4,5079095.2,5079102.5,0.001,0.001,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male5-17YO,0.000 (0.000 - 0.708),0.000 (0.000 - 0.842),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,653837,1,2,0.001,0,0,0,0.707598,0,0,0.841886,0.999998,0.999991,1,0.999995,0.999987,0.999999,Feb 06 2024 12:19:24 PM,653841,6,3,4745134.5,4745140.7,0.001,0.001,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male5-17YO,0.333 (0.008 - 0.906),0.167 (0.004 - 0.641),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,2,653833,4,2,0.001,0.222,0.333333,0.008404,0.905701,0.166667,0.004211,0.641235,0.999994,0.999984,0.999998,0.999997,0.999989,1,Feb 06 2024 12:19:24 PM,653841,6,3,4745134.5,4745140.7,0.001,0.001,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male5-17YO,0.333 (0.008 - 0.906),0.021 (0.001 - 0.113),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,2,651031,45,1,0,0.04,0.333333,0.008404,0.905701,0.021277,0.000539,0.112938,0.999931,0.999908,0.99995,0.999997,0.999989,1,Feb 06 2024 12:19:24 PM,651079,6,3,4720741.4,4720748.3,0.001,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male5-17YO,0.333 (0.008 - 0.906),0.022 (0.001 - 0.115),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,2,650882,44,1,0,0.041,0.333333,0.008404,0.905701,0.021739,0.00055,0.115272,0.999932,0.999909,0.999951,0.999997,0.999989,1,Feb 06 2024 12:19:24 PM,650929,6,3,4719045.4,4719052.4,0.001,0,0,0
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male5-17YO,0.333 (0.008 - 0.906),0.045 (0.001 - 0.228),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,1,652197,21,2,0,0.08,0.333333,0.008404,0.905701,0.045455,0.00115,0.228444,0.999968,0.999951,0.99998,0.999995,0.999987,0.999999,Feb 06 2024 12:19:24 PM,652221,6,3,4730775.2,4730782.1,0.001,0,0,0
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male18-34YO,0.030 (0.001 - 0.158),0.333 (0.008 - 0.906),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,2,395605,1,32,0.009,0.056,0.030303,0.000767,0.157594,0.333333,0.008404,0.905701,0.999997,0.999986,1,0.999919,0.999886,0.999945,Feb 05 2024 7:23:52 PM,395640,19,34,1794954.9,1794931.3,0.005,0.009,0.001,0.002
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male18-34YO,0.303 (0.156 - 0.487),0.526 (0.289 - 0.756),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,11,395598,8,23,0.009,0.385,0.30303,0.155917,0.487111,0.526316,0.288643,0.755525,0.99998,0.99996,0.999991,0.999942,0.999913,0.999963,Feb 05 2024 7:23:52 PM,395640,19,34,1794954.9,1794931.3,0.005,0.009,0.001,0.002
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male18-34YO,0.217 (0.075 - 0.437),0.833 (0.359 - 0.996),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,5,248098,1,18,0.009,0.345,0.217391,0.074603,0.437031,0.833333,0.358765,0.995789,0.999996,0.999978,1,0.999923,0.99988,0.999954,Feb 06 2024 12:19:53 PM,248122,14,23,1543310.1,1543292.3,0.006,0.009,0.001,0.002
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male18-34YO,0.304 (0.132 - 0.529),0.500 (0.230 - 0.770),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,7,248092,7,16,0.009,0.378,0.304348,0.132103,0.529192,0.5,0.230361,0.769639,0.999972,0.999942,0.999989,0.999931,0.99989,0.99996,Feb 06 2024 12:19:53 PM,248122,14,23,1543310.1,1543292.3,0.006,0.009,0.001,0.002
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male18-34YO,0.429 (0.177 - 0.711),0.060 (0.022 - 0.126),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,6,243576,94,8,0.006,0.105,0.428571,0.176611,0.711391,0.06,0.022335,0.12603,0.999618,0.999532,0.999692,0.999967,0.999935,0.999986,Feb 06 2024 12:19:53 PM,243684,13,14,1503813.5,1503811.9,0.005,0.006,0.001,0.001
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male18-34YO,0.429 (0.177 - 0.711),0.061 (0.023 - 0.127),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,6,243449,93,8,0.006,0.106,0.428571,0.176611,0.711391,0.060606,0.022564,0.127257,0.999622,0.999537,0.999695,0.999967,0.999935,0.999986,Feb 06 2024 12:19:53 PM,243556,13,14,1502188.2,1502186.6,0.005,0.006,0.001,0.001
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male18-34YO,0.357 (0.128 - 0.649),0.091 (0.030 - 0.200),1.000 (1.000 - 1.000),1.000 (1.000 - 1.000),Expected Value,5,245078,50,9,0.006,0.145,0.357143,0.127598,0.64862,0.090909,0.030181,0.19954,0.999796,0.999731,0.999849,0.999959,0.999925,0.99998,Feb 06 2024 12:19:53 PM,245142,13,15,1517005,1517002.5,0.005,0.006,0.001,0.001
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male35-54YO,0.027 (0.014 - 0.048),0.917 (0.615 - 0.998),1.000 (1.000 - 1.000),0.999 (0.999 - 0.999),Expected Value,12,363909,0,396,0.112,0.053,0.027027,0.013567,0.047843,0.916667,0.615204,0.997892,0.999997,0.999985,1,0.99891,0.998798,0.999015,Feb 05 2024 7:28:01 PM,364317,198,408,1542285.2,1541868,0.054,0.112,0.013,0.026
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male35-54YO,0.339 (0.294 - 0.387),0.681 (0.613 - 0.744),1.000 (1.000 - 1.000),0.999 (0.999 - 0.999),Expected Value,141,363843,66,276,0.114,0.453,0.338942,0.293541,0.386654,0.681159,0.612993,0.744047,0.999819,0.999769,0.99986,0.999242,0.999147,0.999329,Feb 05 2024 7:28:01 PM,364326,207,417,1542309.2,1541892.1,0.057,0.114,0.013,0.027
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male35-54YO,0.256 (0.210 - 0.307),0.847 (0.760 - 0.912),1.000 (1.000 - 1.000),0.999 (0.999 - 0.999),Expected Value,84,216694,14,240,0.149,0.393,0.256173,0.20952,0.307346,0.846939,0.760144,0.911726,0.999935,0.999892,0.999965,0.998894,0.998745,0.999029,Feb 06 2024 12:20:15 PM,217032,157,324,1294406,1294049.8,0.072,0.149,0.012,0.025
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male35-54YO,0.321 (0.270 - 0.375),0.662 (0.583 - 0.736),1.000 (1.000 - 1.000),0.999 (0.999 - 0.999),Expected Value,104,216655,53,220,0.149,0.432,0.320988,0.270453,0.374832,0.66242,0.582725,0.735853,0.99976,0.999685,0.999821,0.998986,0.998842,0.999115,Feb 06 2024 12:20:15 PM,217032,157,324,1294406,1294049.8,0.072,0.149,0.012,0.025
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male35-54YO,0.527 (0.430 - 0.623),0.235 (0.183 - 0.293),0.999 (0.999 - 0.999),1.000 (1.000 - 1.000),Expected Value,59,208135,188,52,0.053,0.325,0.527273,0.429812,0.623229,0.234818,0.183401,0.292719,0.999098,0.998959,0.999222,0.99975,0.999672,0.999813,Feb 06 2024 12:20:15 PM,208434,91,110,1220420.1,1220393.3,0.044,0.053,0.007,0.009
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male35-54YO,0.523 (0.425 - 0.621),0.230 (0.178 - 0.287),0.999 (0.999 - 0.999),1.000 (1.000 - 1.000),Expected Value,57,207811,187,51,0.052,0.319,0.523364,0.42458,0.620823,0.229508,0.178273,0.287443,0.999101,0.998963,0.999225,0.999759,0.999683,0.999821,Feb 06 2024 12:20:15 PM,208106,91,108,1216514,1216495.4,0.044,0.052,0.007,0.009
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male35-54YO,0.381 (0.294 - 0.475),0.296 (0.225 - 0.375),0.999 (0.999 - 1.000),1.000 (1.000 - 1.000),Expected Value,46,210256,106,73,0.056,0.333,0.381356,0.293501,0.475317,0.296053,0.224836,0.375411,0.999496,0.999391,0.999587,0.999653,0.999564,0.999728,Feb 06 2024 12:20:15 PM,210481,91,119,1238060.8,1238019.6,0.043,0.056,0.007,0.01
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male55-64YO,0.041 (0.031 - 0.052),0.894 (0.794 - 0.956),1.000 (1.000 - 1.000),0.993 (0.993 - 0.994),Expected Value,59,209396,7,1393,0.689,0.078,0.040634,0.031073,0.052104,0.893939,0.793607,0.956282,0.999967,0.999931,0.999987,0.993391,0.993036,0.993733,Feb 05 2024 7:33:04 PM,210855,656,1453,1009340.9,1007890.4,0.311,0.689,0.065,0.144
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male55-64YO,0.376 (0.351 - 0.401),0.808 (0.776 - 0.836),0.999 (0.999 - 0.999),0.996 (0.995 - 0.996),Expected Value,559,209272,132,927,0.705,0.513,0.375758,0.351054,0.400953,0.807525,0.776118,0.836279,0.999365,0.999247,0.999468,0.99559,0.995297,0.995869,Feb 05 2024 7:33:04 PM,210890,691,1486,1009526.8,1008080.3,0.328,0.705,0.068,0.147
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male55-64YO,0.268 (0.242 - 0.295),0.895 (0.856 - 0.925),1.000 (1.000 - 1.000),0.994 (0.994 - 0.994),Expected Value,297,135340,35,811,0.812,0.412,0.268051,0.242162,0.295176,0.894578,0.856441,0.925464,0.999741,0.99964,0.99982,0.994036,0.993613,0.994438,Feb 06 2024 12:20:39 PM,136483,493,1109,888206.4,887030.2,0.361,0.812,0.056,0.125
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male55-64YO,0.350 (0.322 - 0.379),0.787 (0.748 - 0.822),0.999 (0.999 - 0.999),0.995 (0.994 - 0.995),Expected Value,388,135269,105,721,0.812,0.485,0.350181,0.322071,0.379089,0.787018,0.748194,0.82236,0.999224,0.999061,0.999366,0.994698,0.994298,0.995077,Feb 06 2024 12:20:39 PM,136483,493,1109,888206.4,887030.2,0.361,0.812,0.056,0.125
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male55-64YO,0.667 (0.610 - 0.720),0.381 (0.339 - 0.425),0.997 (0.997 - 0.998),0.999 (0.999 - 0.999),Expected Value,196,124622,318,98,0.235,0.485,0.666667,0.609604,0.720329,0.381323,0.339148,0.424871,0.997463,0.997168,0.997734,0.999214,0.999042,0.999362,Feb 06 2024 12:20:39 PM,125234,249,294,796228.4,796150.3,0.199,0.235,0.031,0.037
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male55-64YO,0.666 (0.608 - 0.720),0.381 (0.338 - 0.425),0.997 (0.997 - 0.998),0.999 (0.999 - 0.999),Expected Value,194,124106,313,97,0.233,0.484,0.665517,0.608008,0.719603,0.380671,0.338223,0.424519,0.997484,0.99719,0.997755,0.999219,0.999047,0.999367,Feb 06 2024 12:20:39 PM,124710,246,291,790281.6,790204.7,0.197,0.233,0.031,0.037
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia Bynum-standard revision,15483,Male55-64YO,0.508 (0.451 - 0.565),0.448 (0.395 - 0.501),0.998 (0.998 - 0.999),0.999 (0.999 - 0.999),Expected Value,159,126660,196,154,0.246,0.476,0.507987,0.451157,0.564665,0.447887,0.395375,0.501276,0.998463,0.998231,0.998671,0.998786,0.998578,0.99897,Feb 06 2024 12:20:39 PM,127169,246,313,812025.7,811904.3,0.193,0.246,0.03,0.039
alzheimersDiseaseMulti,MDCD_RS,xSpec,11754,Male65-74YO,0.041 (0.033 - 0.050),0.948 (0.884 - 0.983),1.000 (1.000 - 1.000),0.977 (0.976 - 0.978),Expected Value,92,89770,5,2151,2.438,0.079,0.041016,0.033191,0.050068,0.948454,0.883797,0.983053,0.999944,0.99987,0.999982,0.976589,0.97559,0.977556,Feb 05 2024 7:37:36 PM,92018,1008,2244,507302.6,505408.3,1.095,2.438,0.199,0.444
alzheimersDiseaseMulti,MDCD_RS,Prevalence,5278,Male65-74YO,0.395 (0.375 - 0.416),0.860 (0.837 - 0.880),0.998 (0.998 - 0.999),0.985 (0.984 - 0.986),Expected Value,903,89630,146,1380,2.48,0.542,0.395267,0.375134,0.41567,0.859867,0.837374,0.880317,0.998363,0.998076,0.998616,0.984826,0.984011,0.98561,Feb 05 2024 7:37:36 PM,92059,1049,2283,507431.8,505543.9,1.139,2.48,0.207,0.452
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 30 CCW Alzheimers disease,15478,Male65-74YO,0.310 (0.288 - 0.333),0.906 (0.879 - 0.928),0.999 (0.999 - 0.999),0.983 (0.982 - 0.984),Expected Value,519,65438,54,1153,2.49,0.462,0.310407,0.28828,0.333201,0.905759,0.878826,0.92841,0.999175,0.998924,0.999381,0.982685,0.981666,0.983662,Feb 06 2024 12:20:59 PM,67164,769,1672,466492.5,465047,1.145,2.49,0.165,0.36
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease,15480,Male65-74YO,0.391 (0.368 - 0.415),0.850 (0.823 - 0.875),0.998 (0.998 - 0.999),0.985 (0.984 - 0.986),Expected Value,655,65377,114,1018,2.49,0.536,0.391148,0.367666,0.415013,0.850455,0.82326,0.874928,0.998259,0.997909,0.998564,0.984682,0.983719,0.985603,Feb 06 2024 12:20:59 PM,67164,769,1672,466492.5,465047,1.145,2.49,0.165,0.36
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia,15481,Male65-74YO,0.689 (0.640 - 0.735),0.434 (0.394 - 0.475),0.994 (0.993 - 0.995),0.998 (0.998 - 0.998),Expected Value,265,56886,343,118,0.665,0.533,0.689295,0.640308,0.735328,0.434211,0.394393,0.47467,0.994006,0.99334,0.994622,0.99793,0.997521,0.998286,Feb 06 2024 12:20:59 PM,57612,287,383,390981.8,390829.1,0.498,0.665,0.073,0.098
alzheimersDiseaseMulti,MDCD_RS,[PhePheb] 27 CCW Alzheimers disease and related disorders or senile dementia - Bynum-EM revision,15482,Male65-74YO,0.690 (0.641 - 0.737),0.436 (0.396 - 0.477),0.994 (0.993 - 0.995),0.998 (0.998 - 0.998),Expected Value,262,56400,336,117,0.662,0.535,0.690476,0.641188,0.736751,0.436455,0.396268,0.477272,0.994078,0.993412,0.994693,0.997947,0.997539,0.998304,Feb 06 2024 12:20:59 PM,57115,283,378,385310.7,385161.9,0.495,0.662,0.073,0.098
